advertiser_id,advertiser_namex,advertiser_name,public_ids_list,date_wmpcoded,search_status,sponsor_name,sponsor_cmag,wmp_spontype,wmp_govtorcand,wmp_grouptype,wmp_groupflag,wmp_multisponsor,wmp_office,ontv2022,cand_fav,wmpid,sen_fecid,sen_cycle,sen_state,sen_party,sen_cdstatus,hse_fecid,hse_cycle,hse_state,hse_district,hse_party,hse_cdstatus,db_state,wmp_sen,wmp_hse,wmp_gov,wmp_db,type_cmag,type_scsp,wmptempid,wmp_spontype_new,search_status_new,party_all_new,regions,elections,party_all,Party_abbrev,wmp_notes,advertiser_namey,COMMID,EIN,Committee_Name,Jurisdiction,per_Website,com_Website,R_type,N_type,FirstLast,Prefix,Firstname,MiddleName,Lastname,Suffix,Party_Name,disclose,vw_pt,advertiser_name63,s_09042022to111122,s_011021to111222,codedbywmp,onlycodedbyOS,onlyingooglespend,updated_011725,unmatchedv2,cand_id,notes,matchto_adidmap,old_name,new_name,matchto_oldadidmap,source,cmag_sponsor,wmp_candidate,cmte_id,cmte_nm,advertiser_id_tomerge,advertiser_ids
AR13067472082940461057,MAX MILLER FOR CONGRESS,MAX MILLER FOR CONGRESS,FEC ID C00770818,13sep2022,1,"MILLER, MAX","MILLER, MAX",campaign,1,NA,0,0,us house,NA,"MILLER, MAX",WMPID1568,,NA,NA,,NA,H2OH16051,NA,OH,7,REP,OPEN,NA,0,1,0,NA,0,0,603,NA,NA,,NA,NA,REP,REP,,MAX MILLER FOR CONGRESS,C00770818,NA,Max Miller for Congress,US,https://www.fec.gov/data/candidate/H2OH16051/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00770818,House,Candidate,NA,NA,Max,NA,Miller,NA,Republican,NA,NA,MAX MILLER FOR CONGRESS,10700,95200,1,,,,,H2OH16051,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR516841692792356864,AR516841692792356864|AR13067472082940461057
AR10038998970748895233,YOUNGKIN FOR GOVERNOR INC,YOUNGKIN FOR GOVERNOR INC,EIN ID 86-1363670,17oct2022,NA,"YOUNGKIN, GLENN","YOUNGKIN, GLENN",campaign,1,NA,0,0,governor,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,VA,0,0,1,NA,0,0,2455,campaign,NA,,NA,NA,REP,REP,,YOUNGKIN FOR GOVERNOR INC,NA,NA,"Youngkin, Glenn",VA,https://www.followthemoney.org/entity-details?eid=5723973,NA,NA,Independent Spender,NA,NA,Glenn,NA,Youngkin,NA,Republican,NA,NA,YOUNGKIN FOR GOVERNOR INC,0,1564600,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR517177318716735488,AR517177318716735488|AR10038998970748895233
AR14983951361601699841,MALIA VELLA FOR ASSEMBLY 2021,MALIA VELLA FOR ASSEMBLY 2021,EIN ID 86-2848019,31oct2022,NA,MALIA VELLA FOR ASSEMBLY 2021,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,1,0,0,2877,campaign,NA,,US,NA,DEM,DEM,,MALIA VELLA FOR ASSEMBLY 2021,NA,NA,"Vella, Malia",CA,https://www.followthemoney.org/entity-details?eid=53819063,NA,State Lower Chamber,Candidate,NA,NA,Malia,NA,Vella,NA,Democratic,NA,NA,MALIA VELLA FOR ASSEMBLY 2021,0,18800,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR517511845129486336,AR517511845129486336|AR14983951361601699841
AR18187282831615459329,Sharon W. Hewitt,Sharon W. Hewitt,Registered in US-LA,17oct2022,NA,SHARON W. HEWITT,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,LA,0,0,0,1,0,0,1682,campaign,NA,,NA,NA,,,,Sharon W. Hewitt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Sharon W. Hewitt,0,4700,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR517792151875092480,AR517792151875092480|AR18187282831615459329
AR13452727488295731201,BARTOS FOR US SENATE,BARTOS FOR US SENATE,EIN ID 86-2084996,02sep2022,NA,"BARTOS, JEFFREY A","BARTOS, JEFFREY A",campaign,1,NA,0,0,us senate,NA,"BARTOS, JEFFREY A",WMPID4891,S8PA00262,NA,PA,REP,OPEN,,NA,NA,NA,,NA,NA,1,0,0,NA,0,0,317,NA,NA,,NA,NA,REP,REP,,BARTOS FOR US SENATE,C00769471,NA,Bartos for US Senate Inc,US,https://www.fec.gov/data/candidate/S8PA00262/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00769471,Senate,Candidate,NA,NA,Jeff,NA,Bartos,NA,Republican,NA,NA,BARTOS FOR US SENATE,0,21700,1,,,,,S8PA00262,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR517929384670134272,AR517929384670134272|AR13452727488295731201
AR05935459123045859329,DON BACON FOR CONGRESS,DON BACON FOR CONGRESS,FEC ID C00575167,13sep2022,1,"BACON, DONALD J","BACON, DON",campaign,1,NA,0,0,us house,NA,"BACON, DONALD J",WMPID997,,NA,NA,,NA,H6NE02125,NA,NE,2,REP,INCUMBENT,NA,0,1,0,NA,0,0,463,NA,NA,,NA,NA,REP,REP,,DON BACON FOR CONGRESS,C00575167,NA,Don Bacon for Congress,US,https://www.fec.gov/data/candidate/H6NE02125/?cycle=2018&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00575167,House,Candidate,NA,MR,Don,John,Bacon,NA,Republican,NA,NA,DON BACON FOR CONGRESS,3400,3800,1,,,,,H6NE02125,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR517997520031318016,AR517997520031318016|AR05935459123045859329
AR17375362763735433217,FRIENDS OF MIKE LEE INC,FRIENDS OF MIKE LEE INC,FEC ID C00473827,02sep2022,1,"LEE, MIKE","LEE, MIKE",campaign,1,NA,0,0,us senate,NA,NA,WMPID1445,S0UT00165,NA,UT,REP,INCUMBENT,,NA,NA,NA,,NA,NA,1,0,0,0,0,0,280,NA,NA,,NA,NA,REP,REP,,FRIENDS OF MIKE LEE INC,C00473827,NA,Friends Of Mike Lee Inc,US,https://www.fec.gov/data/candidate/S0UT00165/?cycle=2020&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00473827,Senate,Candidate,NA,NA,Mike,NA,Lee,NA,Republican,NA,NA,FRIENDS OF MIKE LEE INC,260200,318100,1,,,,,S0UT00165,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR518134684106883072,AR518134684106883072|AR17375362763735433217
AR10656357432436981761,GEARING FOR TEXAS,GEARING FOR TEXAS,EIN ID 87-4319232,17oct2022,NA,GEARING FOR TEXAS,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,TX,0,0,0,NA,0,0,1860,group,NA,,NA,NA,,,,GEARING FOR TEXAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GEARING FOR TEXAS,0,21700,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR51815138293972992,AR51815138293972992|AR10656357432436981761
AR12672787815621197825,A Better Delaware,A Better Delaware,EIN ID 83-4324780,31oct2022,NA,A BETTER DELAWARE,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,DE,0,0,0,NA,0,0,2905,group,NA,,US,NA,,,,A Better Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,A Better Delaware,0,2200,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR51838365477109760,AR51838365477109760|AR12672787815621197825
AR02630577583724429313,DANIEL CEISLER,DANIEL CEISLER,NA,17oct2022,NA,DANIEL CEISLER,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1878,unclear could be campaign,NA,,NA,NA,,,,DANIEL CEISLER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,DANIEL CEISLER,0,100,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR518471340823412736,AR518471340823412736|AR02630577583724429313
AR13135223714566111233,WEBER FOR CA ASSEMBLY 2021,WEBER FOR CA ASSEMBLY 2021,Registered in US-CA 1436044,17oct2022,NA,WEBER FOR CA ASSEMBLY 2021,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,CA,0,0,0,1,0,0,2046,campaign,NA,,NA,NA,,,,WEBER FOR CA ASSEMBLY 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,WEBER FOR CA ASSEMBLY 2021,0,800,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR518926641716527104,AR518926641716527104|AR13135223714566111233
AR04362211640448385025,SALMON FOR ARIZONA,SALMON FOR ARIZONA,EIN ID 87-1181805,31oct2022,NA,"SALMON, MATT","SALMON, MATT",campaign,1,NA,0,0,governor,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,AZ,0,0,1,NA,0,0,3389,campaign,NA,,US,NA,,,,SALMON FOR ARIZONA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,SALMON FOR ARIZONA,0,7100,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR518968285719429120,AR518968285719429120|AR04362211640448385025
AR00221151783081213953,"FWD.US EDUCATION FUND, INC.","FWD.US EDUCATION FUND, INC.",EIN ID 82-0962378,31oct2022,NA,"FWD.US EDUCATION FUND, INC.",NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,3002,group,NA,,US,NA,,,,"FWD.US EDUCATION FUND, INC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"FWD.US EDUCATION FUND, INC.",1600,1600,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR519023776696893440,AR519023776696893440|AR00221151783081213953
AR08728079844253892609,Citizens to Elect Judge Amy McFarland,Citizens to Elect Judge Amy McFarland,Registered in US-IL 37064,17oct2022,NA,CITIZENS TO ELECT JUDGE AMY MCFARLAND,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,IL,0,0,0,1,0,0,1610,campaign,NA,,NA,NA,,,,Citizens to Elect Judge Amy McFarland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Citizens to Elect Judge Amy McFarland,0,200,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR519149825397096448,AR519149825397096448|AR08728079844253892609
AR17224492176218521601,TUDOR DIXON FOR GOVERNOR INC,TUDOR DIXON FOR GOVERNOR INC,EIN ID 86-3248901,17oct2022,NA,"DIXON, TUDOR","DIXON, TUDOR",campaign,1,NA,0,0,governor,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,MI,0,0,1,NA,0,0,2712,campaign,NA,,NA,NA,,,,TUDOR DIXON FOR GOVERNOR INC,NA,NA,"Dixon, Tudor",MI,https://www.followthemoney.org/entity-details?eid=54449392,NA,NA,Candidate,NA,NA,Tudor,NA,Dixon,NA,,NA,NA,TUDOR DIXON FOR GOVERNOR INC,50400,63200,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR51915262571577344,AR51915262571577344|AR17224492176218521601
AR03618635016327659521,NARRATIVE STRATEGIES LLC,NARRATIVE STRATEGIES LLC,EIN ID 83-4087798,31oct2022,NA,NARRATIVE STRATEGIES LLC,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2839,group,NA,,US,NA,,,,NARRATIVE STRATEGIES LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NARRATIVE STRATEGIES LLC,0,4200,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR519156920683069440,AR519156920683069440|AR03618635016327659521
AR11091298668739821569,NA,CITIZENS FOR DAVE HEINE,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,REP,REP,,CITIZENS FOR DAVE HEINE,NA,NA,NA,NA,https://www.followthemoney.org/entity-details?eid=38601833,NA,State Lower Chamber,NA,NA,NA,NA,NA,NA,NA,Republican,NA,NA,CITIZENS FOR DAVE HEINE,0,400,,1,,1,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR519496394898145280,AR519496394898145280|AR11091298668739821569
AR10767821523214401537,Aaron Storer,Aaron Storer,NA,17oct2022,NA,AARON STORER,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2014,unclear could be campaign,NA,,NA,NA,,,,Aaron Storer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Aaron Storer,0,700,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR5195845276270592,AR5195845276270592|AR10767821523214401537
AR12738906947357507585,NA,Dawn Grove for Arizona,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Dawn Grove for Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Dawn Grove for Arizona,0,2900,,1,,1,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR519821850339966976,AR519821850339966976|AR12738906947357507585
AR05976752106860707841,MUHLBAUER FOR IOWA,MUHLBAUER FOR IOWA,EIN ID 86-3827365,02sep2022,1,"MUHLBAUER, DAVE MR.","MUHLBAUER, DAVE MR.",campaign,1,NA,0,0,us senate,NA,NA,WMPID3992,S2IA00149,NA,IA,DEM,CHALLENGER,,NA,NA,NA,,NA,NA,1,0,0,0,0,0,374,NA,NA,,NA,NA,DEM,DEM,,MUHLBAUER FOR IOWA,C00780361,NA,Muhlbauer for Iowa,US,https://www.fec.gov/data/candidate/S2IA00149/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00780361,Senate,Candidate,NA,NA,Dave,NA,Muhlbauer,NA,Democratic,NA,NA,MUHLBAUER FOR IOWA,0,2000,1,,,,,S2IA00149,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR519926372664082432,AR519926372664082432|AR05976752106860707841
AR05741403841958510593,Tiffany Bryant,Tiffany Bryant,NA,17oct2022,NA,TIFFANY BRYANT,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1685,unclear could be campaign,NA,,NA,NA,,,,Tiffany Bryant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Tiffany Bryant,0,700,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR520521826929999872,AR520521826929999872|AR05741403841958510593
AR15821620892292612097,NA,CANDACE OWENS LLC,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,REP,,,CANDACE OWENS LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CANDACE OWENS LLC,0,1600,,1,,1,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR520666069111668736,AR520666069111668736|AR15821620892292612097
AR11784143826354962433,TRISH GUNBY FOR CONGRESS,TRISH GUNBY FOR CONGRESS,FEC ID C00785923,13sep2022,1,"GUNBY, PATRICIA WASHBURN","GUNBY, PATRICIA WASHBURN",campaign,1,NA,0,0,us house,NA,"GUNBY, PATRICIA WASHBURN",WMPID4023,,NA,NA,,NA,H2MO02201,NA,MO,2,DEM,CHALLENGER,NA,0,1,0,NA,0,0,627,NA,NA,,NA,NA,DEM,DEM,,TRISH GUNBY FOR CONGRESS,C00785923,NA,Trish Gunby for Congress,US,https://www.fec.gov/data/candidate/H2MO02201/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00785923,House,Candidate,NA,NA,Trish,NA,Gunby,NA,Democratic,NA,NA,TRISH GUNBY FOR CONGRESS,7100,26800,1,,,,,H2MO02201,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR521416623236579328,AR521416623236579328|AR11784143826354962433
AR00764926253714112513,"Yes on 27 - Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies","Yes on 27 - Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",Registered in US-CA 1440682,17oct2022,NA,"YES ON 27 - CALIFORNIANS FOR SOLUTIONS TO HOMELESSNESS AND MENTAL HEALTH SUPPORT, A COALITION OF HOUSING AND MENTAL HEALTH EXPERTS, CONCERNED TAXPAYERS AND DIGITAL SPORTS ENTERTAINMENT AND GAMING COMPANIES",NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,CA,0,0,0,NA,0,0,2569,group,NA,,NA,NA,,,,Yes on 27 - Californians for Solutions to Homeless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"Yes on 27 - Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",2352300,10781500,1,,,,,,,Matched (3),"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies","Yes on 27 - Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",Matched (3),oldadvertiserid,,,,,AR52147465683468288,AR52147465683468288|AR00764926253714112513
AR03121469943107813377,,NATIONAL IMMIGRATION FORUM,,,,,,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,1,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR521631440320856064,AR521631440320856064|AR03121469943107813377
AR00849167536099426305,Stern for Supervisor 2022,Stern for Supervisor 2022,Registered in US-CA 1442984,17oct2022,NA,STERN FOR SUPERVISOR 2022,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,CA,0,0,0,1,0,0,1884,campaign,NA,,NA,NA,,,,Stern for Supervisor 2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Stern for Supervisor 2022,0,20000,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR521714659607183360,AR521714659607183360|AR00849167536099426305
AR00345503524525703169,DAVIDSON FOR CONGRESS,Davidson for Congress,FEC ID C00600718,13sep2022,1,"DAVIDSON, WARREN","DAVIDSON, WARREN",campaign,1,NA,0,0,us house,NA,"DAVIDSON, WARREN",WMPID1007,,NA,NA,,NA,H6OH08315,NA,OH,8,REP,INCUMBENT,NA,0,1,0,NA,0,0,594,NA,NA,,NA,NA,REP,REP,,Davidson for Congress,C00600718,NA,DAVIDSON FOR CONGRESS,US,https://www.fec.gov/data/candidate/H6OH08315/?cycle=2020&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00600718,House,Candidate,NA,NA,Warren,NA,Davidson,NA,Republican,NA,NA,Davidson for Congress,0,9600,1,,,,,H6OH08315,,Matched (3),DAVIDSON FOR CONGRESS,Davidson for Congress,Matched (3),oldadvertiserid,,,,,AR521880376625332224,AR521880376625332224|AR00345503524525703169
AR17140014498833235969,Nathan Hochman For Attorney General 2022,Nathan Hochman For Attorney General 2022,EIN ID 86-3228865,31oct2022,NA,NATHAN HOCHMAN FOR ATTORNEY GENERAL 2022,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,1,0,0,2913,campaign,NA,,US,NA,REP,,,Nathan Hochman For Attorney General 2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Nathan Hochman For Attorney General 2022,0,28700,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR521983490200174592,AR521983490200174592|AR17140014498833235969
AR04902643595732844545,LAUREN DOHERTY,LAUREN DOHERTY,NA,17oct2022,NA,LAUREN DOHERTY,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2486,unclear could be campaign,NA,,NA,NA,,,,LAUREN DOHERTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,LAUREN DOHERTY,0,1300,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR522117424460333056,AR522117424460333056|AR04902643595732844545
AR03156519075266428929,Amy Phan West For Congress,Amy Phan West For Congress,FEC ID H2CA45125,20sep2022,NA,"PHAN WEST, AMY","PHAN WEST, AMY",campaign,1,NA,0,0,us house,NA,"PHAN WEST, AMY",WMPID2632,,NA,NA,,NA,H2CA45125,NA,CA,47,REP,CHALLENGER,NA,0,1,0,NA,0,0,972,NA,NA,,NA,NA,REP,REP,,Amy Phan West For Congress,C00712646,NA,Amy Phan West for Congress,US,https://www.fec.gov/data/candidate/H2CA45125/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00712646,House,Candidate,NA,NA,Amy,Phan,West,NA,Republican,NA,NA,Amy Phan West For Congress,400,2200,1,,,,,H2CA45125,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR522623405967540224,AR522623405967540224|AR03156519075266428929
AR15523622729717645313,Will Franklin Campaign,Will Franklin Campaign,EIN ID 87-3442006,31oct2022,NA,WILL FRANKLIN CAMPAIGN,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,TX,0,0,0,1,0,0,3134,campaign,NA,,US,NA,,,,Will Franklin Campaign,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Will Franklin Campaign,0,15600,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR522836024028561408,AR522836024028561408|AR15523622729717645313
AR17836981725540909057,MELANIE FOR NM,MELANIE FOR NM,EIN ID 85-4372307,17oct2022,NA,"STANSBURY, MELANIE","STANSBURY, MELANIE",campaign,1,NA,0,0,us house,NA,"STANSBURY, MELANIE",WMPID3359,,NA,NA,,NA,H2NM01144,2022,NM,1,DEM,CHALLENGER,NA,0,1,0,NA,0,0,2263,campaign,NA,,NA,NA,DEM,,,MELANIE FOR NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,MELANIE FOR NM,9600,63000,1,,,,,H2NM01144,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR522894779181170688,AR522894779181170688|AR17836981725540909057
AR16988053195781570561,NA,MAZHIL RAJENDRAN LLC,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,MAZHIL RAJENDRAN LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,MAZHIL RAJENDRAN LLC,500,500,,1,,1,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR523570325997223936,AR523570325997223936|AR16988053195781570561
AR04673325327475277825,JODY JOHNSON CAMPAIGN,JODY JOHNSON CAMPAIGN,EIN ID 87-4488741,31oct2022,NA,JODY JOHNSON CAMPAIGN,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,CA,0,0,0,1,0,0,3309,campaign,NA,,US,NA,,,,JODY JOHNSON CAMPAIGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,JODY JOHNSON CAMPAIGN,0,3400,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR523872863493554176,AR523872863493554176|AR04673325327475277825
AR12822223540463861761,UFKAIP INC,UFKAIP INC,EIN ID 86-2628663,17oct2022,NA,UFKAIP INC,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1872,group,NA,,NA,NA,,,,UFKAIP INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,UFKAIP INC,3700,62000,1,,,,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR524122933669396480,AR524122933669396480|AR12822223540463861761
AR14123763832773935105,NA,REPUBLICAN PARTY OF TEXAS,NA,NA,NA,NA,NA,party,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,REP,,,REPUBLICAN PARTY OF TEXAS,C00143743,NA,Republican Party Of Texas,TX,NA,https://www.fec.gov/data/committee/C00143743,Party - qualified,Party,NA,NA,NA,NA,NA,NA,,Y,C,REPUBLICAN PARTY OF TEXAS,36700,36700,,1,,1,,,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR524270233867780096,AR524270233867780096|AR14123763832773935105
AR17141540895850496001,HOLLY MCCORMACK FOR CONGRESS,HOLLY MCCORMACK FOR CONGRESS,FEC ID C00767798,13sep2022,1,"MCCORMACK, HOLLY","MCCORMACK, HOLLY",campaign,1,NA,0,0,us house,NA,"MCCORMACK, HOLLY",WMPID2986,,NA,NA,,NA,H2GA14051,NA,GA,14,DEM,CHALLENGER,NA,0,1,0,NA,0,0,717,NA,NA,,NA,NA,DEM,DEM,,HOLLY MCCORMACK FOR CONGRESS,C00767798,NA,Holly Mccormack for Congress,US,https://www.fec.gov/data/candidate/H2GA14051/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00767798,House,Candidate,NA,NA,Holly,NA,McCormack,NA,Democratic,NA,NA,HOLLY MCCORMACK FOR CONGRESS,0,10000,1,,,,,H2GA14051,,Matched (3),,,Master only (1),oldadvertiserid,,,,,AR524302841259491328,AR524302841259491328|AR17141540895850496001
